# video = bench_spoto_95x6_2_20260813.mov
# tracker = vtrack
# commit = 5667852
# generated = 2026-08-17T15:34Z
# n_frames = 1038
# lift = bench
# camera_side = right
# fps = 30
# m_per_px = 0.00205085364306
# travel_m = 0.639242174993
# plate_radius_px = 98.7393716197
# sticker_radius_m = 0.2025
t,x,height,score,n_markers,residual_px,m_per_px_t,circumradius_px
11.9666666667,0.121971741543,0.337091815301,5,5,0.239965123519,0.00205085364306,98.7393716197
12,0.121959622414,0.337110120134,5,5,0.241893650102,0.00205085364306,98.7393716197
12.0333333333,0.121980642155,0.337097109923,5,5,0.244898534709,0.00205085364306,98.7393716197
12.0666666667,0.122001635984,0.337138119706,5,5,0.249319247804,0.00205085364306,98.7393716197
12.1,0.12199573509,0.337129448626,5,5,0.250478436082,0.00205085364306,98.7393716197
12.1333333333,0.121981374056,0.337169738367,5,5,0.247735589324,0.00205085364306,98.7393716197
12.1666666667,0.120921785567,0.342720852528,7,7,2.59124703022,0.00205085364306,98.7393716197
12.2,0.123961693552,0.342996436323,7,7,0.950683767521,0.00205085364306,98.7393716197
12.2333333333,0.00101342428637,0.00302174311935,7,7,1.37536635723,0.00205085364306,98.7393716197
12.2666666667,0.122427284324,0.340363148791,7,7,1.40601729591,0.00205085364306,98.7393716197
12.3,0.123368859706,0.34268316247,6,6,1.10396727522,0.00205085364306,98.7393716197
12.3333333333,0.120851952889,0.339183832615,6,6,0.824503926407,0.00205085364306,98.7393716197
12.3666666667,0.120949461703,0.339011294671,6,6,0.767315082238,0.00205085364306,98.7393716197
12.4,0.121832794732,0.339987965477,5,5,0.279189257518,0.00205085364306,98.7393716197
12.4333333333,0.122032222676,0.335656976208,5,5,0.272784801685,0.00205085364306,98.7393716197
12.4666666667,0.00163193296929,0.00516707199587,6,6,0.928311584412,0.00205085364306,98.7393716197
12.5,0.119214041445,0.336482002953,6,6,1.26795429456,0.00205085364306,98.7393716197
12.5333333333,0.119128942287,0.336290019081,6,6,1.28208858257,0.00205085364306,98.7393716197
12.5666666667,0.119284950427,0.336161156153,6,6,1.22491755995,0.00205085364306,98.7393716197
12.6,0.118364317645,0.334982325501,6,6,1.15423476379,0.00205085364306,98.7393716197
